pgm,end_pgm,semicolon,comma,assign,identifier,squarebeg,squareend,dlint,dlreal,dlstring,dlchar,dlbool,dlarray,lit_int,lit_real,lit_char,lit_string,lit_bool,or,and,eq,diff,smaller,smallere,,greater,greatere,plus,minus,mult,pow,unary,not,parenthbeg,parenthend,dlwhile,dlif,dlelse,print,read,main,func,dlvoid,keybeg,keyend,dlreturn,$
s2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,acc
 , , , , , , , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , , , , , , ,s7, ,s9, , , , 
 ,s16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,r3, , , , , , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , , , , , , ,s7, ,s9, , , , 
 ,r5, , , , , , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , , , , , , ,s7, ,s9, , , , 
 , ,s19,s20,s21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s23, , , 
 , , , , ,s25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s24, , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s26, , , , , 
 , , , , ,r12,r12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r12, , , , , 
 , , , , ,r13,r13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r13, , , , , 
 , , , , ,r14,r14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r14, , , , , 
 , , , , ,r15,r15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r15, , , , , 
 , , , , ,r16,r16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r16, , , , , 
 , , , , ,r17,r17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r17, , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r1
 ,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,r6, , , ,r6, , ,r6,r6,r6,r6,r6,r6, , , , , , , , , , , , , , , , , , , , , , ,r6,r6, ,r6,r6,r6, ,r6, ,r6,r6, 
 , , , , , , , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 ,r62, , , , , , ,r62,r62,r62,r62,r62,r62, , , , , , , , , , , , , , , , , , , , , , , , , , , ,r62, ,r62, , , , 
 , , , , ,s57, , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , ,s58,s59, ,s60,s61, , , , ,s47,s56, 
 , , , , ,s62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,r10,r10,r10, ,s63, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r10, , , , , , , , , , , , 
 , , , , ,s64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,r7, , , ,r7, , ,r7,r7,r7,r7,r7,r7, , , , , , , , , , , , , , , , , , , , , , ,r7,r7, ,r7,r7,r7, ,r7, ,r7,r7, 
 , , , , ,s25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,s65,s66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,r23,r23, , , ,r23, , , , , , , , , , , ,s67, , , , , , , , , , , , , , , ,r23, , , , , , , , , , , , 
 , ,r25,r25, , , ,r25, , , , , , , , , , , ,r25,s68, , , , , , , , , , , , , , ,r25, , , , , , , , , , , , 
 , ,r27,r27, , , ,r27, , , , , , , , , , , ,r27,r27,s69, , , , , , , , , , , , , ,r27, , , , , , , , , , , , 
 , ,r37,r37, , , ,r37, , , , , , , , , , , ,r37,r37,r37,s70,s71,s72,s73, ,s74,r37,r37,s75, , , , ,r37, , , , , , , , , , , , 
 , ,r34,r34, , , ,r34, , , , , , , , , , , ,r34,r34,r34, , , , , , ,s76,s77, , , , , ,r34, , , , , , , , , , , , 
 , ,r39,r39, , , ,r39, , , , , , , , , , , ,r39,r39,r39,r39,r39,r39,r39, ,r39,r39,r39,r39,s78, , , ,r39, , , , , , , , , , , , 
 , ,r41,r41, , , ,r41, , , , , , , , , , , ,r41,r41,r41,r41,r41,r41,r41, ,r41,r41,r41,r41,r41, , , ,r41, , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , ,r45,r45, , ,s84,r45, , , , , , , , , , , ,r45,r45,r45,r45,r45,r45,r45, ,r45,r45,r45,r45,r45, , ,s85,r45, , , , , , , , , , , , 
 , ,r48,r48, , , ,r48, , , , , , , , , , , ,r48,r48,r48,r48,r48,r48,r48, ,r48,r48,r48,r48,r48, , , ,r48, , , , , , , , , , , , 
 , ,r18,r18, , , ,r18, , , , , , , , , , , ,r18,r18,r18,r18,r18,r18,r18, ,r18,r18,r18,r18,r18, , , ,r18, , , , , , , , , , , , 
 , ,r19,r19, , , ,r19, , , , , , , , , , , ,r19,r19,r19,r19,r19,r19,r19, ,r19,r19,r19,r19,r19, , , ,r19, , , , , , , , , , , , 
 , ,r20,r20, , , ,r20, , , , , , , , , , , ,r20,r20,r20,r20,r20,r20,r20, ,r20,r20,r20,r20,r20, , , ,r20, , , , , , , , , , , , 
 , ,r21,r21, , , ,r21, , , , , , , , , , , ,r21,r21,r21,r21,r21,r21,r21, ,r21,r21,r21,r21,r21, , , ,r21, , , , , , , , , , , , 
 , ,r22,r22, , , ,r22, , , , , , , , , , , ,r22,r22,r22,r22,r22,r22,r22, ,r22,r22,r22,r22,r22, , , ,r22, , , , , , , , , , , , 
 ,r72, , , ,r72, , ,r72,r72,r72,r72,r72,r72, , , , , , , , , , , , , , , , , , , , , , ,r72,r72,r72,r72,r72,r72, ,r72, ,r72,r72, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s86, , 
 , , , , ,s57, , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , ,s58,s59, ,s60,s61, , , , ,r75,s56, 
 , , , , ,s57, , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , ,s58,s59, ,s60,s61, , , , ,r77,s56, 
 , , , , ,s57, , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , ,s58,s59, ,s60,s61, , , , ,r79,s56, 
 , , , , ,s57, , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , ,s58,s59, ,s60,s61, , , , ,r81,s56, 
 , , , , ,s57, , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , ,s58,s59, ,s60,s61, , , , ,r83,s56, 
 , , , , ,s57, , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , ,s58,s59, ,s60,s61, , , , ,r85,s56, 
 , , , , ,s57, , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , ,s58,s59, ,s60,s61, , , , ,r87,s56, 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , ,s95, ,s84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s97, , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s98, , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s99, , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s100, , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s85, , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s85, , , , , , , , , , , , , 
 ,r8, , , ,r8, , ,r8,r8,r8,r8,r8,r8, , , , , , , , , , , , , , , , , , , , , , ,r8,r8, ,r8,r8,r8, ,r8, ,r8,r8, 
 , , , , , , , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , ,s113, , , , , , , , , , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , ,r42,r42, , , ,r42, , , , , , , , , , , ,r42,r42,r42,r42,r42,r42,r42, ,r42,r42,r42,r42,r42, , , ,r42, , , , , , , , , , , , 
 , ,r43,r43, , , ,r43, , , , , , , , , , , ,r43,r43,r43,r43,r43,r43,r43, ,r43,r43,r43,r43,r43, , , ,r43, , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , ,s67, , , , , , , , , , , , , , , ,s119, , , , , , , , , , , , 
 , ,r46,r46, , , ,r46, , , , , , , , , , , ,r46,r46,r46,r46,r46,r46,r46, ,r46,r46,r46,r46,r46, , , ,r46, , , , , , , , , , , , 
 , ,r47,r47, , , ,r47, , , , , , , , , , , ,r47,r47,r47,r47,r47,r47,r47, ,r47,r47,r47,r47,r47, , , ,r47, , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , , , , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , ,s121, , , , , , , , , , , , 
 ,r73, , , ,r73, , ,r73,r73,r73,r73,r73,r73, , , , , , , , , , , , , , , , , , , , , , ,r73,r73,r73,r73,r73,r73, ,r73, ,r73,r73, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r74, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r76, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r78, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r80, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r82, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r84, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r86, , 
 , ,s124, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , ,s126, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , , , , , , ,s129, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , ,s130, , , , , , , , , ,s121, , , , , , , , , , , , 
 , ,s131, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s23, , , 
 , , , , , , ,s133, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s23, , , 
 ,r9, , , ,r9, , ,r9,r9,r9,r9,r9,r9, , , , , , , , , , , , , , , , , , , , , , ,r9,r9, ,r9,r9,r9, ,r9, ,r9,r9, 
 , ,r24,r24, , , ,r24, , , , , , , , , , , ,r24,s68, , , , , , , , , , , , , , ,r24, , , , , , , , , , , , 
 , ,r26,r26, , , ,r26, , , , , , , , , , , ,r26,r26,s69, , , , , , , , , , , , , ,r26, , , , , , , , , , , , 
 , ,r28,r28, , , ,r28, , , , , , , , , , , ,r28,r28,r28, , , , , , ,s76,s77, , , , , ,r28, , , , , , , , , , , , 
 , ,r37,r37, , , ,r37, , , , , , , , , , , ,r37,r37,r37, , , , , , ,r37,r37,s75, , , , ,r37, , , , , , , , , , , , 
 , ,r29,r29, , , ,r29, , , , , , , , , , , ,r29,r29,r29, , , , , , ,s76,s77, , , , , ,r29, , , , , , , , , , , , 
 , ,r30,r30, , , ,r30, , , , , , , , , , , ,r30,r30,r30, , , , , , ,s76,s77, , , , , ,r30, , , , , , , , , , , , 
 , ,r31,r31, , , ,r31, , , , , , , , , , , ,r31,r31,r31, , , , , , ,s76,s77, , , , , ,r31, , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , ,r33,r33, , , ,r33, , , , , , , , , , , ,r33,r33,r33, , , , , , ,s76,s77, , , , , ,r33, , , , , , , , , , , , 
 , ,r38,r38, , , ,r38, , , , , , , , , , , ,r38,r38,r38,r38,r38,r38,r38, ,r38,r38,r38,r38,s78, , , ,r38, , , , , , , , , , , , 
 , ,r35,r35, , , ,r35, , , , , , , , , , , ,r35,r35,r35, , , , , , ,r35,r35,s75, , , , ,r35, , , , , , , , , , , , 
 , ,r36,r36, , , ,r36, , , , , , , , , , , ,r36,r36,r36, , , , , , ,r36,r36,s75, , , , ,r36, , , , , , , , , , , , 
 , ,r40,r40, , , ,r40, , , , , , , , , , , ,r40,r40,r40,r40,r40,r40,r40, ,r40,r40,r40,r40,r40, , , ,r40, , , , , , , , , , , , 
 , ,r44,r44, , , ,r44, , , , , , , , , , , ,r44,r44,r44,r44,r44,r44,r44, ,r44,r44,r44,r44,r44, , , ,r44, , , , , , , , , , , , 
 , , , , , , ,s136, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,r68,r68, , , ,r68, , , , , , , , , , , ,r68,r68,r68,r68,r68,r68,r68, ,r68,r68,r68,r68,r68, , , ,r68, , , , , , , , ,r68, , , 
 , , ,s138, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s137, , , , , , , , , , , , 
 , , ,r71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r71, , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r88, , 
 , ,s139, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s141, , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s142, , , , , , , , , , , , 
 , , ,s144, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s143, , , , , , , , , , , , 
 , , , , , , , , , ,s145, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,r61, , ,r61,r61,r61,r61,r61,r61, , , , , , , , , , , , , , , , , , , , , , ,r61,r61, ,r61,r61, , , , ,r61,r61, 
 ,r63, , , , , , ,r63,r63,r63,r63,r63,r63, , , , , , , , , , , , , , , , , , , , , , , , , , , ,r63, ,r63, , , , 
 , ,r11,r11,r11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r11, , , , , , , , , , , , 
 ,r64, , , , , , ,r64,r64,r64,r64,r64,r64, , , , , , , , , , , , , , , , , , , , , , , , , , , ,r64, ,r64, , , , 
 , ,r32,r32, , , ,r32, , , , , , , , , , , ,r32,r32,r32, , , , , , ,s76,s77, , , , , ,r32, , , , , , , , , , , , 
 , ,r50,r50,r50, , ,r50, , , , , , , , , , , ,r50,r50,r50,r50,r50,r50,r50, ,r50,r50,r50,r50,r50, , , ,r50, , , , , , , , , , , , 
 , ,r69,r69, , , ,r69, , , , , , , , , , , ,r69,r69,r69,r69,r69,r69,r69, ,r69,r69,r69,r69,r69, , , ,r69, , , , , , , , ,r69, , , 
 , , , , , , , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,r51, , ,r51,r51,r51,r51,r51,r51, , , , , , , , , , , , , , , , , , , , , , ,r51,r51, ,r51,r51, , , , ,r51,r51, 
 , ,s147, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s23, , , 
 , , , , , , , , , , , , , , , , , , , , , , , , ,s149, , , , , , , , , , , , , , , , , , ,s23, , , 
 , ,s151, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , ,s155, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s154, , , , , , , , , , , , 
 , , ,r70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r70, , , , , , , , , , , , 
 , , , , ,r52, , ,r52,r52,r52,r52,r52,r52, , , , , , , , , , , , , , , , , , , , , , ,r52,r52, ,r52,r52, , , , ,r52,r52, 
 , , , , ,r53, , ,r53,r53,r53,r53,r53,r53, , , , , , , , , , , , , , , , , , , , , , ,r53,r53, ,r53,r53, , , , ,r53,r53, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s23, , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s157, , , , , , , , , 
 , , , , ,r57, , ,r57,r57,r57,r57,r57,r57, , , , , , , , , , , , , , , , , , , , , , ,r57,r57, ,r57,r57, , , , ,r57,r57, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s158, , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r49, , , , , , , , , , , , 
 , ,s159, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , ,r55, , ,r55,r55,r55,r55,r55,r55, , , , , , , , , , , , , , , , , , , , , , ,r55,r55, ,r55,r55, , , , ,r55,r55, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s23, , , 
 , ,s162, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,r59, , ,r59,r59,r59,r59,r59,r59, , , , , , , , , , , , , , , , , , , , , , ,r59,r59, ,r59,r59, , , , ,r59,r59, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s163, , , , , , , , , , , , 
 , , , , ,r56, , ,r56,r56,r56,r56,r56,r56, , , , , , , , , , , , , , , , , , , , , , ,r56,r56, ,r56,r56, , , , ,r56,r56, 
 , , , , ,r58, , ,r58,r58,r58,r58,r58,r58, , , , , , , , , , , , , , , , , , , , , , ,r58,r58, ,r58,r58, , , , ,r58,r58, 
 , ,s164, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,r60, , ,r60,r60,r60,r60,r60,r60, , , , , , , , , , , , , , , , , , , , , , ,r60,r60, ,r60,r60, , , , ,r60,r60, 
 , , , , ,r64, , , , , , ,r64,r64,r64,r64,r64,r64, , , , , , , , , , , , , , , , , , , ,r64,r64, ,r64,r64, ,r64,r64, ,,
 , , , , ,r66, , , , , , ,r66,r66,r66,r66,r66,r66, , , , , , , , , , , , , , , , , , , ,r66,r66, ,r66,r66, ,r66,r66, ,,
s168, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
 , , , , ,r68, , , , , , ,r68,r68,r68,r68,r68,r68, , , , , , , , , , , , , , , , , , , ,r68,r68, ,r68,r68, ,r68,r68, ,,
